1;MUSIC 387R;Composition 3;001;2.0;3:00p - 3:50p;TTh;E400;HFAC;Hicks, Michael D
2;MUSIC 483;Counterpoint;001;3.0;8:00a - 850a;MWF;E400;HFAC;Bush, Douglas E
3;MATH 543;Advanced Probability 1;001;3.0;9:00a - 9:50a;MWF;121;TMCB;Dallon, John Carlile
4;MATH 534;Intro to Dynamical Systems 1;001;3.0;3:00p - 3:50p;MWF;108;TMCB;Fisher, Todd Lowell
5;MATH 485;Mathematical Cryptography;001;3.0;1:00p - 1:50p;MWF;111;TMCB;Jenkins, Paul M
6;BIO 100;Principles of Biology;007;3.0;12:00p - 12:50p;MWF;456;MARB;Jensen, Jamie L
7;MUSIC 441R;New Music Ensemble;001;1.0;4:00p - 4:50p;TTh;A244;HFAC;Asplund, Christian T
